Variable,"Full (N=75,323)","Sample A (N=29,847)","Sample B (N=48,609)"
Panel A: Demographics,,,
  N,"75,323","29,847","48,609"
  Female,"9,008 (13.6%)","4,033 (13.5%)","6,280 (12.9%)"
"  Age, mean (SD)",35.2 (10.8),35.3 (10.5),35.3 (10.5)
"  Age, median [IQR]",34.0 [27.0–42.0],34.0 [27.0–42.0],34.0 [27.0–42.0]
  Education,,,
    None,149 (0.3%),44 (0.1%),115 (0.3%)
    Primary,"3,593 (7.1%)","2,154 (7.2%)","2,677 (6.9%)"
    Basic,364 (0.7%),157 (0.5%),255 (0.7%)
    Secondary,"30,864 (60.7%)","18,067 (60.5%)","23,403 (60.0%)"
    Vocational,"3,404 (6.7%)","1,953 (6.5%)","2,644 (6.8%)"
    Higher,"12,454 (24.5%)","7,472 (25.0%)","9,911 (25.4%)"
  Employed,"34,180 (61.6%)","18,772 (62.9%)","26,179 (63.6%)"
  Prior criminal record,"23,575 (35.5%)","10,646 (35.7%)","17,235 (35.5%)"
,,,
Panel B: Crime,,,
  Violent,"38,642 (52.6%)","17,366 (58.2%)","28,302 (58.2%)"
  Property,"19,132 (26.0%)","7,050 (23.6%)","11,513 (23.7%)"
  Traffic,"9,362 (12.7%)","2,873 (9.6%)","4,972 (10.2%)"
  Drug,"1,442 (2.0%)",577 (1.9%),871 (1.8%)
  Other,"4,927 (6.7%)","1,981 (6.6%)","2,951 (6.1%)"
,,,
Panel C: Sentencing,,,
  Fine,"42,517 (56.4%)","20,892 (70.0%)","33,567 (69.1%)"
  Imprisonment,"11,859 (15.7%)","5,578 (18.7%)","9,344 (19.2%)"
  Community service,"7,653 (10.2%)","1,731 (5.8%)","3,025 (6.2%)"
  Suspended,"7,498 (10.0%)","1,058 (3.5%)","1,701 (3.5%)"
  Probation,"5,796 (7.7%)",588 (2.0%),972 (2.0%)
"  Severity (winsorized), mean (SD)",10.0 (20.9),9.4 (19.6),9.6 (20.0)
"  Severity (winsorized), median [IQR]",1.8 [1.1–7.2],1.6 [1.1–7.0],1.7 [1.1–7.2]
"  Aggravating factors, mean (SD)",0.8 (1.3),0.8 (1.3),0.9 (1.3)
"  Mitigating factors, mean (SD)",2.5 (1.4),2.6 (1.4),2.6 (1.4)
,,,
Panel D: Context,,,
  UB (Ulaanbaatar),"38,961 (51.7%)","17,018 (57.0%)","26,115 (53.7%)"
  Unique courts,47,45,46
  Year range,2020–2026,2020–2026,2020–2026
